,Check,with,Pin
View : av_func_setup_pw_vmin_tmin_cw
Startpoint : (R) u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/s_change_detect_sr_reg_2_/CK
Clock : (R) pll_mux_clk
Endpoint : (R) u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/div_ratio_d3_reg_1_/D
Clock : (R) pll_mux_clk
Slack : =   -0.627
Instance_name,trans,fanout,delay
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cpc_drv_buf_27524,0.029,1,0.091
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23037,0.087,1,0.114
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23038,0.072,1,0.104
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23039,0.068,1,0.084
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23005,0.038,7,0.089
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/s_change_detect_sr_reg_2_,0.076,3,0.108
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/POST_CTS_FE_RC_1535_0,0.032,1,0.024
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/POST_CTS_FE_RC_1532_0,0.016,1,0.021
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/POST_CTS_FE_RC_1530_0,0.021,1,0.033
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/div_ratio_d3_reg_1_,0.031,1,0.000
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_pll_wrapper/u_pllts40lplaint2,0.040,1,0.004
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_pll_wrapper/PlaceOpt_C_FE_OFC324_w_pll_foutpostdiv,0.080,1,0.102
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/PD_CORE_ISO_CPU1_2_CORE_0_731_UPF_ISO,0.074,2,0.116
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_cyip_dig_clk_switch_pll_out/CTS_ccl_a_buf_18146,0.052,2,0.058
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_cyip_dig_clk_switch_pll_out/u_clk_mux_out/gen_clk_mux_gate_u_clk_mux_gate,0.019,1,0.088
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_cyip_dig_clk_switch_pll_out/u_test_clk_mux_out/gen_clk_mux_gate_u_clk_mux_gate,0.059,1,0.114
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_cyip_dig_clk_switch_pll_out/CTS_ccl_a_buf_18138,0.071,1,0.081
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_cyip_dig_clk_switch_pll_out/u_clkgate_out/gen_clk_gate_u_clk_gate,0.065,1,0.482
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/CTS_ccl_a_buf_18130,0.096,3,0.090
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_ccl_a_buf_03643,0.044,3,0.057
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/div_ratio_d3_reg_1_,0.028,3,0.000
